,District,Type,Population,Area sqmi,Under 5,5 to 17,18 to 24,25 to 44,45 to 64,Over 65,Male,Female,Total Families,Avg Residential Value,Liquor Licenses,Faith Orgs,Parks,Total A Offenses,Assault Offenses,Arson,Burglary,Criminal Damages,Locked Vehicle,Robbery,Sex Offense,Theft,Vehicle Theft,Homicide
0,1000,CensusTract,3654,0.59,345,872,369,976,887,205,1723,1931,898,60828.0,4,6,0,3389,784,25,520,491,205,201,38,683,435,7
0,101,CensusTract,4822,1.53,484,834,571,1172,931,830,1976,2846,1037,170219.0,5,3,4,4020,815,8,486,521,356,225,55,1060,490,4
0,102,CensusTract,3507,2.52,211,549,256,800,953,738,1444,2063,838,98457.0,6,6,1,4280,485,12,502,533,533,160,31,1425,594,5
0,10600,CensusTract,1192,0.11,100,270,139,415,209,59,603,589,243,119993.0,3,3,0,1357,302,14,211,160,98,115,33,243,173,8
0,10700,CensusTract,2208,0.24,144,218,368,986,398,94,1192,1016,374,213173.0,6,0,2,2675,259,10,394,435,388,225,24,592,346,2
0,10800,CensusTract,2469,0.13,52,52,747,1096,363,159,1319,1150,241,328818.0,24,2,4,2679,174,1,198,440,726,149,27,763,200,1
0,1100,CensusTract,2800,1.23,247,719,323,785,583,143,1175,1625,749,61907.0,2,3,5,3197,545,25,434,498,265,154,51,718,501,6
0,11000,CensusTract,3428,0.11,38,54,612,1408,960,356,1734,1694,276,388282.0,20,2,0,2093,144,4,174,344,537,108,10,568,203,1
0,11100,CensusTract,1481,0.1,28,43,358,688,258,106,827,654,152,492419.0,7,9,1,1685,107,2,135,198,549,92,16,409,177,0
0,11200,CensusTract,2219,0.15,63,71,408,1111,404,162,1217,1002,284,235259.0,25,1,3,1824,139,4,151,355,386,112,8,459,209,1
0,11300,CensusTract,1829,0.18,21,31,635,494,259,389,1037,792,194,552147.0,18,2,0,2728,162,3,160,319,914,87,13,846,224,0
0,11400,CensusTract,1137,0.21,32,56,210,593,216,30,582,555,165,331733.0,5,0,0,1518,106,3,131,220,398,55,11,387,207,0
0,1200,CensusTract,2985,0.47,403,840,398,756,470,118,1380,1605,716,70742.0,3,0,1,3678,1031,16,494,484,181,272,69,693,429,9
0,12200,CensusTract,2557,0.19,302,714,340,659,452,90,1229,1328,518,58116.0,2,2,0,3012,666,29,350,383,233,265,46,583,447,10
