District,Type,Population,Area sqmi,18 to 24,Male,Liquor Licenses,Faith Orgs,Parks,Avg Residential Value,Total A Offenses
101,CensusTract,4822,1.53,0.118415595,0.40978847,0.001036914,0.000622148,0,170219,4020
102,CensusTract,3507,2.52,0.072996863,0.411747933,0.001710864,0.001710864,0.000285144,98457,4280
201,CensusTract,5450,3.03,0.108256881,0.455045872,0.000550459,0.000183486,0.001284404,96196,4036
202,CensusTract,6101,3.04,0.082445501,0.470250779,0.001147353,0.000983445,0.001639076,161898,3490
301,CensusTract,1483,0.78,0.053944707,0.479433581,0,0.000674309,0.005394471,117854,274
302,CensusTract,3028,0.7,0.104359313,0.447820343,0.000330251,0.001981506,0.000990753,150523,2649
303,CensusTract,1873,0.61,0.086492258,0.481580352,0.000533903,0,0.001601708,130698,734
304,CensusTract,3382,1.3,0.088409225,0.485807215,0.000295683,0.001478415,0.001182732,148120,1412
400,CensusTract,2439,0.93,0.124231242,0.441164412,0.001640016,0.000820008,0.006560066,155952,1951
501,CensusTract,3450,1.56,0.094782609,0.488115942,0.000869565,0.000289855,0.000869565,136663,2914
502,CensusTract,4878,0.69,0.115621156,0.451414514,0,0.000410004,0,133652,5345
600,CensusTract,6290,1.5,0.103974563,0.464864865,0.00063593,0.000476948,0.000317965,108434,4768
700,CensusTract,3580,1.52,0.07877095,0.437430168,0.000837989,0.000837989,0.00027933,92992,2609
800,CensusTract,5129,1.17,0.091440827,0.463833106,0.000584909,0.00019497,0.00019497,102028,3101
900,CensusTract,3694,1.35,0.113427179,0.432593395,0.000541419,0.001353546,0.001353546,114633,3202
1000,CensusTract,3654,0.59,0.100985222,0.471538041,0.001094691,0.001642036,0,60828,3389
1100,CensusTract,2800,1.23,0.115357143,0.419642857,0.000714286,0.001071429,0.001785714,61907,3197
1200,CensusTract,2985,0.47,0.133333333,0.462311558,0.001005025,0,0.000335008,70742,3678
1300,CensusTract,3733,0.76,0.101794803,0.473345834,0.000267881,0.000535762,0.000267881,64410,4111
1400,CensusTract,2595,0.43,0.134874759,0.470905588,0.001156069,0,0.000385356,100968,2282
1500,CensusTract,3173,0.57,0.117869524,0.462338481,0.000945477,0.000630318,0.000315159,84985,3503
1600,CensusTract,2990,0.51,0.110033445,0.451170569,0,0,0,87368,2706
1700,CensusTract,4458,0.51,0.100717811,0.447510094,0.000224316,0.000672948,0.000224316,104672,4155
1800,CensusTract,3153,0.38,0.115762766,0.420234697,0.000317158,0.000634317,0.000317158,77915,3162
1900,CensusTract,3518,0.38,0.107731666,0.428652644,0.000284252,0.000568505,0.000284252,58480,3043
