District,Type,Population,Area (Sq. Mile),% Pop 18 to 24,% Male,Liquor Licenses/Sq. Mi.,Faith Orgs/Sq. Mi.,Parks/Sq. Mi.,Avg Residential Value,Total Offenses
101,CensusTract,4822,1.53,0.118415595,0.40978847,3.267973404,1.960782782,0,170219,4020
102,CensusTract,3507,2.52,0.072996863,0.411747933,2.3809524,2.3809524,0.3968254,98457,4280
201,CensusTract,5450,3.03,0.108256881,0.455045872,0.990099521,0.330032574,2.310231617,96196,4036
202,CensusTract,6101,3.04,0.082445501,0.470250779,2.302631794,1.973683535,3.289474564,161898,3490
301,CensusTract,1483,0.78,0.053944707,0.479433581,0,1.282051599,10.25641089,117854,274
302,CensusTract,3028,0.7,0.104359313,0.447820343,1.428571469,8.571428811,4.285714406,150523,2649
303,CensusTract,1873,0.61,0.086492258,0.481580352,1.639344785,0,4.918031285,130698,734
304,CensusTract,3382,1.3,0.088409225,0.485807215,0.769230697,3.846153485,3.076922788,148120,1412
400,CensusTract,2439,0.93,0.124231242,0.441164412,4.301074219,2.15053711,17.20430212,155952,1951
501,CensusTract,3450,1.56,0.094782609,0.488115942,1.923076442,0.641025481,1.923076442,136663,2914
502,CensusTract,4878,0.69,0.115621156,0.451414514,0,2.898550017,0,133652,5345
600,CensusTract,6290,1.5,0.103974563,0.464864865,2.666666467,2.000001947,1.333333233,108434,4768
700,CensusTract,3580,1.52,0.07877095,0.437430168,1.973684618,1.973684618,0.657895658,92992,2609
800,CensusTract,5129,1.17,0.091440827,0.463833106,2.564101078,0.854701821,0.854701821,102028,3101
900,CensusTract,3694,1.35,0.113427179,0.432593395,1.481482804,3.703702907,3.703702907,114633,3202
1000,CensusTract,3654,0.59,0.100985222,0.471538041,6.779662566,10.16949075,0,60828,3389
1100,CensusTract,2800,1.23,0.115357143,0.419642857,1.626016911,2.439025366,4.06504,61907,3197
1200,CensusTract,2985,0.47,0.133333333,0.462311558,6.382977926,0,2.127657191,70742,3678
1300,CensusTract,3733,0.76,0.101794803,0.473345834,1.315789175,2.63157835,1.315789175,64410,4111
