District,Type,Population,Area (Sq. Mile),% Pop 18 to 24,% Male,Liquor Licenses/Sq. Mi.,Faith Orgs/Sq. Mi.,Parks/Sq. Mi.,Avg Residential Value,Total Offenses
101,CensusTract,1.804498008,2.009123601,-0.162651969,-1.826785828,-0.552977248,-0.709611509,-0.670455622,0.038836223,1.04979344
102,CensusTract,0.603711566,3.864464867,-0.546812518,-1.778354584,-0.577679612,-0.682728593,-0.629836416,-0.218008001,1.245250736
201,CensusTract,2.377953434,4.820246732,-0.248576366,-0.708177165,-0.616413028,-0.813948708,-0.433979392,-0.226100372,1.061821581
202,CensusTract,2.972411209,4.838987553,-0.466894083,-0.332363708,-0.579860737,-0.708786105,-0.333743693,0.009054434,0.651361259
301,CensusTract,-1.244495095,0.603562035,-0.707959393,-0.105396153,-0.643985992,-0.75303748,0.37939469,-0.148583968,-1.766295142
302,CensusTract,0.166314831,0.453635468,-0.281542761,-0.886767605,-0.604202163,-0.286655076,-0.231768185,-0.031657963,0.019132082
303,CensusTract,-0.888368317,0.28496808,-0.432665819,-0.052335294,-0.598332405,-0.835064557,-0.167043977,-0.102613856,-1.420486079
304,CensusTract,0.489568368,1.57808472,-0.416451735,0.052138347,-0.622563933,-0.58898341,-0.355500577,-0.040258569,-0.910793592
400,CensusTract,-0.371527917,0.884674348,-0.113462085,-1.051279525,-0.524206755,-0.697470818,1.09058361,-0.012226965,-0.505595582
501,CensusTract,0.551662268,2.065346063,-0.362544403,0.109202206,-0.590430853,-0.794051039,-0.47360875,-0.081264454,0.218348173
502,CensusTract,1.85563416,0.434894647,-0.186287882,-0.797931953,-0.643985992,-0.649612126,-0.670455622,-0.092041159,2.045873891
600,CensusTract,3.144995724,1.952901138,-0.284797052,-0.465485138,-0.569722852,-0.707102224,-0.5339751,-0.182299202,1.612109046
700,CensusTract,0.670371193,1.99038278,-0.497974157,-1.143577304,-0.589021482,-0.708786035,-0.60311316,-0.237567847,-0.010938271
800,CensusTract,2.084833702,1.334454049,-0.390809851,-0.490986702,-0.572579163,-0.780379791,-0.582968003,-0.205226992,0.358927074
900,CensusTract,0.77446979,1.671788825,-0.20484497,-1.26312584,-0.602728652,-0.598097555,-0.291343114,-0.160112287,0.434854716
1000,CensusTract,0.737943967,0.247486438,-0.310081485,-0.300546981,-0.455181342,-0.184409308,-0.670455622,-0.3526864,0.575433617
1100,CensusTract,-0.041882362,1.446898974,-0.188520956,-1.583218982,-0.598703568,-0.679013021,-0.254356505,-0.348824538,0.431095922
1200,CensusTract,0.127049571,0.022596588,-0.036474813,-0.528594181,-0.466228486,-0.835064557,-0.452667783,-0.317203085,0.79269192
1300,CensusTract,0.810082468,0.566080393,-0.30323389,-0.255864502,-0.607343001,-0.666693268,-0.535770917,-0.339866021,1.118203494
1400,CensusTract,-0.229077206,-0.052366696,-0.02343713,-0.316179062,-0.449692941,-0.835064557,-0.432408463,-0.209020851,-0.256763409
1500,CensusTract,0.298720941,0.210004797,-0.167270745,-0.527928736,-0.497414067,-0.610569565,-0.490876063,-0.266225795,0.661134124
1600,CensusTract,0.131615299,0.097559871,-0.233549839,-0.803961442,-0.643985992,-0.835064557,-0.670455622,-0.257696772,0.061982336
1700,CensusTract,1.472113015,0.097559871,-0.312343299,-0.894435902,-0.589380699,-0.458704846,-0.469748811,-0.19576382,1.151280882
1800,CensusTract,0.280458029,-0.1460708,-0.185090117,-1.568590715,-0.570700054,-0.49832165,-0.401086373,-0.291530116,0.404784363
1900,CensusTract,0.613756167,-0.1460708,-0.253018737,-1.360527768,-0.570700101,-0.498321803,-0.401086545,-0.361090155,0.315325062
2000,CensusTract,-0.343220404,-0.071107517,-0.253351635,-0.547702478,-0.643985992,-0.530392481,-0.183024909,-0.382933474,0.452145169
2100,CensusTract,-0.339567822,-0.202293263,-0.145421667,-0.186506116,-0.484850767,-0.10385188,-0.377997135,-0.363230463,0.842308003
2200,CensusTract,-0.964159401,-0.033625875,-0.375117681,-0.315088245,-0.643985992,-0.689653013,4.447564422,-0.243040309,-1.197213706
2300,CensusTract,1.424629445,0.472376289,-0.375237795,-0.993893954,-0.565539088,-0.294379324,0.338731651,-0.364708637,1.276072848
2400,CensusTract,-0.549591306,-0.014885054,-0.203075643,-0.621415062,-0.210784254,0.0180169,3.196493007,-0.371190408,1.108430629
2500,CensusTract,-0.594335439,-0.464664755,-0.166205689,-0.424704222,-0.511373194,0.078951489,-0.183025006,-0.361730816,0.287509985
2600,CensusTract,-0.01540114,-0.35221983,-0.21347206,-0.693540915,-0.334556333,0.349770722,0.466881732,-0.372561208,0.859598456
2700,CensusTract,-0.776964556,-0.35221983,-0.261178774,-0.222722446,-0.540842762,-0.598097567,4.637120737,-0.403269988,-0.745406649
2800,CensusTract,-0.542286141,-0.389701471,8.22216E-05,-0.529972996,-0.421196673,-0.323215992,-0.26101378,-0.394780334,0.095059724
2900,CensusTract,-0.608945769,-0.389701471,-0.244274459,-0.57824158,-0.30980192,-0.323215848,-0.670455622,-0.385299267,-0.413129246
3000,CensusTract,0.854826601,0.097559871,-0.298734062,-0.191778758,-0.534775429,0.168560647,-0.670455622,-0.306322585,0.653616536
3100,CensusTract,0.663066029,0.041337409,-0.276265777,-0.863339886,-0.353895588,0.097993,-0.030702839,-0.30892102,0.951313033
3200,CensusTract,-0.024532595,-0.277256546,-0.246104458,-0.61851981,-0.554151472,-0.835064557,-0.340260527,-0.257335281,-0.096638778
3300,CensusTract,2.133230418,0.210004797,-0.284464382,-0.675016819,-0.497414009,-0.3860742,-0.670455622,-0.151121558,1.461005521
3400,CensusTract,2.453744517,0.641043677,-0.419766291,-0.984106011,-0.574364208,-0.435182609,-0.286604364,-0.137764313,1.188117065
3500,CensusTract,0.515136444,-0.014885054,-0.36554247,-0.887255906,-0.582100066,-0.408524053,-0.670455622,-0.254726109,0.885910015
3600,CensusTract,-0.870105405,-0.127329979,-0.261669256,-0.73953755,-0.215544784,0.3133142,-0.670455622,-0.275309581,1.359518078
3700,CensusTract,-0.484757969,-0.389701471,-0.444465561,-1.161202828,-0.643985992,-0.835064557,-0.670455622,-0.250953725,-0.366520198
3800,CensusTract,-0.593422294,-0.389701471,-0.378500232,-1.094016363,-0.309801892,1.724179581,0.967311102,-0.273205063,-0.091376466
3900,CensusTract,-0.197117111,-0.370960651,-0.453488544,-1.072541452,-0.429765458,-0.096821312,-0.276761921,-0.318838739,0.273978326
4000,CensusTract,-0.167896452,-0.389701471,-0.230083408,-2.187571055,-0.532591393,-0.067291442,0.148427788,-0.372264142,0.294275815
4100,CensusTract,-0.256471574,0.191263976,-0.372824139,-0.960572209,-0.643985992,-0.149552809,-0.122096174,-0.375760934,0.557391406
4200,CensusTract,0.183664598,-0.35221983,-0.253735992,-0.363627501,-0.025126443,0.823705068,-0.291342645,-0.3709005,1.533174368
4300,CensusTract,2.28572573,0.584821214,-0.292956293,-1.078026682,-0.535484739,-0.170325658,-0.138713522,-0.352131638,3.575703113
4400,CensusTract,0.444824234,0.865933527,0.114772868,-0.60189427,-0.341282957,-0.695975201,1.33224782,-0.175563313,2.636756333
4500,CensusTract,-0.335915239,-0.35221983,-0.218745864,-0.64437754,-0.43769935,0.586738052,-0.291343269,-0.448910822,0.616028594
4600,CensusTract,0.126136426,-0.370960651,-0.296872362,-0.665576515,0.427116927,2.610071823,-0.27676136,-0.437532825,0.845315038
4700,CensusTract,1.073068396,0.172523155,-0.371212675,-0.694281844,-0.441450227,-0.36974763,-0.484346071,-0.455786296,1.837636695
4800,CensusTract,1.055718629,-0.127329979,-0.198368318,-0.751987544,-0.358358582,1.625747189,-0.14553063,-0.368298486,2.512716126
4900,CensusTract,1.515944003,-0.1460708,-0.291384498,-0.897071482,-0.424127983,-0.49832163,-0.670455622,-0.235126892,1.761709053
5000,CensusTract,1.699486266,-0.033625875,-0.414910356,-0.933451114,-0.517401111,0.03740487,-0.670455622,-0.226934305,1.179847718
5100,CensusTract,0.506918134,0.884674348,-0.308715486,-1.068722591,-0.643985992,-0.491080087,-0.3402606,-0.180717234,0.853584385
5200,CensusTract,-1.085607763,-0.370960651,-0.541482383,-0.03710026,-0.53687574,-0.096821007,-0.276761976,-0.188040097,-1.029571487
5300,CensusTract,-0.845450475,-0.370960651,-0.573922695,-0.935879717,-0.215544838,-0.835064557,-0.670455622,-0.169682832,-1.029571487
5400,CensusTract,0.770817208,0.116300692,-0.646198447,-0.554916015,-0.429765349,-0.342902143,-0.47360849,-0.182771644,-0.6093383
5500,CensusTract,0.431127051,0.07881905,-0.71047936,-0.185554651,-0.588288703,-0.707102508,-0.261013859,-0.093515753,-1.193454912
